username,title,date,comment,skillname,totalrating,avgrating
Valeria Araujo,YES YES YES!,Reviewed in the United States on April 15 2020,Mutter nonsense is the type of game that will have you and your friends rolling in laughter every time you play making it a staple party game! It’s super easy to use and brings out a creative and fun atmosphere. I’ve never not had a good time playing the game! If you enjoy games like Apples to Apples Cards Against Humanity and Jackboxtv YOU ARE MISSING OUT! So quit reading this review and GO PLAY!,Mutter Nonsense,40  customer ratings,4.2 out of 5
David Kaye,Innovative use of Alexa,Reviewed in the United States on April 5 2020,Pretty innovative.  I’ll look forward to future versions.  Might be helpful to find another way to get the room code. I did like not having to download an app. I wondered if a future version might support multiple locations (not in the same room).,Mutter Nonsense,40  customer ratings,4.2 out of 5
Amazon Customer,Great phone connected game for parties and family night!,Reviewed in the United States on April 2 2020,Great game for playing with friends and family alike! I love the phone connectivity it adds a new level of gameplay.,Mutter Nonsense,40  customer ratings,4.2 out of 5
Sophia Delmonte,What a Blast!,Reviewed in the United States on April 15 2020,This app has been great to play with my family while we have been stuck inside! Instructions are clear and the prompts themselves are hilarious. Happy to know I’m funnier than the rest of my family!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Amazon Customer,Fun game at home and on zoom!,Reviewed in the United States on April 27 2020,This is a great game and the best part is you type in the answers so there is no chance for Alexa to misunderstand. Our family with two teenagers love playing this and we played with extended family on zoom. Highly recommend!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Danielle Elliott,Play with your friends,Reviewed in the United States on April 28 2020,Its really fun to play with your siblings,Mutter Nonsense,40  customer ratings,4.2 out of 5
Amazon Customer,Super fun,Reviewed in the United States on April 4 2020,Super fun played while quarantined funny prompts easy to set up,Mutter Nonsense,40  customer ratings,4.2 out of 5
Nathaniel B,Very fun!,Reviewed in the United States on April 7 2020,Great to play with friends and fam!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Tim,Stimulates your creative juices.,Reviewed in the United States on April 15 2020,Fun fun. Seriously. Even as a “senior” (the old guy in the room) it is a fun way to connect to young people.  Clever entertaining and a bunch of fun watching friends’ creative minds veiled behind poker faces.  Great for family gatherings.,Mutter Nonsense,40  customer ratings,4.2 out of 5
coty gibson,Mutter nonsense SLAPS,Reviewed in the United States on April 7 2020,Really fun game that gets the whole squad or family laughing having a good time. Prefer it over other games like jackbox 10/10 will be playing it again.,Mutter Nonsense,40  customer ratings,4.2 out of 5
Beth,What's the damn address??,Reviewed in the United States on April 25 2020,I have tried to check out this game but the required web address is spoken so fast I can't catch it! It's really stupid that it only says it once and you can't ask Alexa to repeat it not can you find it anywhere on the web or in the app. Poor planning.,Mutter Nonsense,40  customer ratings,4.2 out of 5
Amazon Customer,A blast!,Reviewed in the United States on April 4 2020,Had a blast playing this game with other family members via zoom! A great night with lots of laughs! Highly recommend!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Jeff Blakely,Highly recommended 👍,Reviewed in the United States on April 15 2020,What a cool game! Very interactive and fun!! Played this game on a zoom conference and it's great for small or large groups. Best part is it’s well designed and super funny👍,Mutter Nonsense,40  customer ratings,4.2 out of 5
JD,I didn't know I needed this until now,Reviewed in the United States on April 15 2020,Definitely going to use this skill again it's a a fun way to finally settle who the funniest friend is.,Mutter Nonsense,40  customer ratings,4.2 out of 5
Amazon Customer,So fun!,Reviewed in the United States on April 15 2020,This game is fun for the entire family and has become a regular at our family game nights! It was super easy to setup and the prompts were very entertaining!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Amazon Customer,So much fun!!,Reviewed in the United States on April 10 2020,This game is fun for the whole family and is great for all ages. Would highly recommend as a way to interact with friends and loved ones. It is also very easy to follow and has clear easy to understand rules. Love this game!!!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Bruce,Fun game!,Reviewed in the United States on April 11 2020,It’s a fun and easy game to play with a group of people. We were able to play together even though we were in different cities using our phones.,Mutter Nonsense,40  customer ratings,4.2 out of 5
Joanne,Fun for the Whole Family!,Reviewed in the United States on April 17 2020,Went fast and furious! Great fun along with the Zoom. Like Apples to Apples but faster and better! Loved it!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Sharon Ward,A lot of fun!,Reviewed in the United States on April 15 2020,This is a fun game to play with a group - doesn't matter how big the group is. Even older folks like me (in mid 60s) can do it!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Mark,Great Kosher wholesole family fun!,Reviewed in the United States on April 9 2020,Please add a Hebrew language option.,Mutter Nonsense,40  customer ratings,4.2 out of 5
Susan,Fun to play with a group of family or friends!,Reviewed in the United States on April 4 2020,Love that you only need a few people to play but great for a big group too.  We used a phone to run the Alexa app since we don't have a Alexa device and answered the questions on the games website using our phones and laptop.,Mutter Nonsense,40  customer ratings,4.2 out of 5
Kate Grimes,Great fun for everyone!,Reviewed in the United States on April 15 2020,This is a great game to play with family and friends!  My family plays it and we spend quality time laughing together which is so important. It’s entertaining fast to learn and plays in bite-size chunks of time. Only have a few minutes two rounds fits the bill. want to play linger?  Just keep going!,Mutter Nonsense,40  customer ratings,4.2 out of 5
Lily Marine,A fun game to play with family and friends,Reviewed in the United States on April 11 2020,This is a great game to play at parties and social gatherings to bring about laughter and joy. Its been a useful and fun ice breaker at family reunions. I definitely will be playing again. I also just recently bought the expansion pack and its so funny. recommend,Mutter Nonsense,40  customer ratings,4.2 out of 5
